IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.319635
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.312059
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.302586
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.275484
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.280834
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.312267
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.341127
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.322163
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.346164
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.32124
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.256989
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.250227
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.334316
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.349958
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.424493
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.446442
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.514129
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.524114
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.521762
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.530776
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.575548
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.6053
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.55
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",348,"Hungary","HU","HUN",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.485969
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.253261
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.20841
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.21005
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.202794
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.248065
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.262857
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.316502
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.385617
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.528937
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.538378
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.579453
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.570015
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.586871
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.552748
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.58133
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.575651
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.586948
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.621667
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.605786
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.611297
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.59406
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.64004
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.568333
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",705,"Slovenia","SI","SVN",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.576119
